tt/I,layer/I,phimin/D,phimax/D,zmin_cm/D,zmax_cm/D
38,10,-3.101068,3.101068,78.9435,116.9440
38,11,-1.695049,-0.504071,60.2304,110.0950
38,12,-1.695049,-0.504071,67.2072,110.0950
38,13,-1.695049,-0.504071,83.9403,110.0950
38,14,-1.695049,-0.504071,100.0545,110.0950
39,5,-2.577163,-1.349827,10.6558,57.1481
39,6,-2.488038,-1.431173,19.7377,83.2006
39,7,-2.495765,-1.381178,34.4563,115.0000
39,8,-2.424320,-1.502671,49.3603,116.9440
39,9,-2.484585,-1.468914,59.5413,116.9440
39,10,-2.523145,-1.363300,78.9435,116.9440
39,11,-0.909651,0.281328,60.2305,110.0950
39,12,-0.909651,0.281328,67.2072,110.0950
39,13,-0.909651,0.281328,83.9404,110.0950
39,14,-0.909651,0.281328,100.0545,110.0950
40,5,-1.791765,-0.564430,35.1077,115.0000
40,6,-1.710419,-0.653554,62.1864,115.0000
40,7,-1.756567,-0.641981,93.9064,115.0000
40,11,-0.147442,1.449672,25.0206,70.2557
40,12,-0.147442,1.269434,32.6742,87.7541
40,13,-0.058863,1.154080,37.3960,93.9771
40,14,-0.124253,1.154080,44.9935,110.0950
40,15,-0.124253,1.066726,55.2653,110.0950
41,5,-1.006367,0.220969,35.1077,115.0000
41,6,-0.917242,0.139623,62.1864,115.0000
41,7,-0.836416,0.097218,93.9064,115.0000
41,11,0.749437,2.167033,25.0206,70.2557
41,12,0.726535,2.167033,32.6741,87.7541
41,13,0.726535,1.923903,37.3960,93.9771
41,14,0.661145,1.852211,44.9935,110.0950
41,15,0.661145,1.852124,55.2653,110.0950
42,5,-0.220969,1.006367,35.1077,115.0000
42,6,-0.139623,0.917242,62.1864,115.0000
42,7,-0.097218,0.836416,93.9064,115.0000
42,11,1.423355,3.020468,25.0206,70.2557
42,12,1.423355,2.840231,32.6742,87.7541
42,13,1.511933,2.821501,37.3960,93.9771
42,14,1.446543,2.719636,44.9936,110.0950
42,15,1.446543,2.637522,55.2653,110.0950
43,5,0.564430,1.791765,35.1077,115.0000
43,6,0.653554,1.710419,62.1864,115.0000
43,7,0.641981,1.756567,93.9064,115.0000
43,11,-3.096746,3.096740,25.0206,70.2557
43,12,-3.102276,3.102281,32.6742,87.7541
43,13,-3.103690,3.103684,37.3960,93.9771
43,14,-3.108767,3.108762,44.9936,110.0950
43,15,-3.108767,3.108762,55.2653,110.0950
44,5,1.349827,2.577163,35.1077,115.0000
44,6,1.431173,2.488038,62.1864,115.0000
44,7,1.381178,2.495765,93.9064,115.0000
44,11,-3.096746,3.012393,25.0206,70.2557
44,12,-3.102276,3.089467,32.6742,87.7541
44,13,-3.103690,3.092921,37.3960,93.9771
44,14,-3.108767,3.108762,44.9935,110.0950
44,15,-3.108767,3.108762,55.2653,110.0950
45,5,-2.926514,2.952823,35.1077,115.0000
45,6,-3.004367,3.011638,62.1864,115.0000
45,7,-3.049303,3.054011,93.9064,115.0000
45,11,-2.392156,-0.974560,25.0206,70.2557
45,12,-2.415057,-0.974560,32.6741,87.7541
45,13,-2.415057,-1.217689,37.3960,93.9771
45,14,-2.480447,-1.289381,44.9935,110.0950
45,15,-2.480447,-1.289468,55.2653,110.0950
46,5,-2.952823,2.926514,35.1077,115.0000
46,6,-3.011638,3.004367,62.1864,115.0000
46,7,-3.054011,3.049303,93.9064,115.0000
46,11,-1.718238,-0.121124,25.0206,70.2557
46,12,-1.718238,-0.301362,32.6742,87.7541
46,13,-1.629660,-0.320091,37.3960,93.9771
46,14,-1.695049,-0.421956,44.9936,110.0950
46,15,-1.695049,-0.504071,55.2653,110.0950
47,5,-2.577163,-1.349827,35.1077,115.0000
47,6,-2.488038,-1.431173,62.1864,115.0000
47,7,-2.495765,-1.381178,93.9064,115.0000
47,11,-0.821360,0.596236,25.0206,70.2557
47,12,-0.844261,0.596236,32.6742,87.7541
47,13,-0.844261,0.316460,37.3960,93.9771
47,14,-0.909651,0.281328,44.9936,110.0950
47,15,-0.909651,0.281328,55.2653,110.0950
