moduleId/I, z_cm/D, r_cm/D, eta/D, phi/D, sensorSpacing_cm/D
50322, -37.424099, 23.814800, -1.233762, 1.178097, 0.259998
50323, -32.502499, 23.210400, -1.138181, 1.178097, 0.260000
50324, -29.480200, 23.814800, -1.040008, 1.178097, 0.259998
50325, -24.670799, 23.210400, -0.925172, 1.178097, 0.260000
50326, -21.331600, 23.814800, -0.805689, 1.178097, 0.259998
50327, -16.637400, 23.210400, -0.666382, 1.178097, 0.260000
50328, -12.973300, 23.814800, -0.520882, 1.178097, 0.259998
50329, -8.397160, 23.210400, -0.354324, 1.178097, 0.260000
50330, -4.399700, 23.814800, -0.183711, 1.178097, 0.259998
50331, 0.055278, 23.210400, 0.002382, 1.178097, 0.260000
50332, 4.394800, 23.814800, 0.183509, 1.178097, 0.259998
50333, 8.392580, 23.210400, 0.354138, 1.178097, 0.260000
50334, 12.968800, 23.814800, 0.520716, 1.178097, 0.259998
50335, 16.633200, 23.210400, 0.666235, 1.178097, 0.260000
50336, 21.327499, 23.814800, 0.805560, 1.178097, 0.259998
50337, 24.666901, 23.210400, 0.925057, 1.178097, 0.260000
50338, 29.476400, 23.814800, 1.039908, 1.178097, 0.259998
50339, 32.499001, 23.210400, 1.138093, 1.178097, 0.260000
50340, 37.420700, 23.814800, 1.233685, 1.178097, 0.259998
50341, 40.134399, 23.210400, 1.315510, 1.178097, 0.260000
50342, 45.165600, 23.814800, 1.396383, 1.178097, 0.259998
50343, 47.578201, 23.210400, 1.465716, 1.178097, 0.260000
50344, 52.716000, 23.814800, 1.535266, 1.178097, 0.259998
50345, 54.835098, 23.210400, 1.594927, 1.178097, 0.260000
50346, 60.076900, 23.814800, 1.655618, 1.178097, 0.259998
50347, 61.909801, 23.210400, 1.707644, 1.178097, 0.260000
50348, 67.252998, 23.814800, 1.761271, 1.178097, 0.259998
50349, 68.806900, 23.210400, 1.807156, 1.178097, 0.260000
50350, 74.249001, 23.814800, 1.855044, 1.178097, 0.259998
50351, 75.530800, 23.210400, 1.895900, 1.178097, 0.260000
50352, 81.069298, 23.814800, 1.939051, 1.178097, 0.259998
50353, 82.085899, 23.210400, 1.975727, 1.178097, 0.260000
50354, 87.718399, 23.814800, 2.014909, 1.178097, 0.259998
50355, 88.476501, 23.210400, 2.048061, 1.178097, 0.260000
50356, 94.200600, 23.814800, 2.083875, 1.178097, 0.259998
50357, 94.706703, 23.210400, 2.114020, 1.178097, 0.260000
50358, 100.519997, 23.814800, 2.146942, 1.178097, 0.259998
50359, 100.779999, 23.210400, 2.174491, 1.178097, 0.260000
50360, 106.681000, 23.814800, 2.204915, 1.178097, 0.259998
50361, 106.702003, 23.210400, 2.230211, 1.178097, 0.260000
50362, 112.686996, 23.814800, 2.258437, 1.178097, 0.259998
50400, -112.686996, 21.972200, -2.337355, 1.570796, 0.260000
50401, -106.702003, 21.367800, -2.311180, 1.570796, 0.260000
50402, -106.681000, 21.972200, -2.283652, 1.570796, 0.260000
50403, -100.780998, 21.367800, -2.255265, 1.570796, 0.260000
50404, -100.521004, 21.972200, -2.225472, 1.570796, 0.260000
50405, -94.707397, 21.367800, -2.194544, 1.570796, 0.260000
50406, -94.201401, 21.972200, -2.162136, 1.570796, 0.260000
50407, -88.477501, 21.367800, -2.128283, 1.570796, 0.260000
50408, -87.719597, 21.972200, -2.092843, 1.570796, 0.260000
50409, -82.087196, 21.367800, -2.055569, 1.570796, 0.260000
50410, -81.070702, 21.972200, -2.016568, 1.570796, 0.260000
50411, -75.532303, 21.367800, -1.975255, 1.570796, 0.260000
50412, -74.250702, 21.972200, -1.932023, 1.570796, 0.260000
50413, -68.808701, 21.367800, -1.885873, 1.570796, 0.260000
50414, -67.255096, 21.972200, -1.837536, 1.570796, 0.260000
50415, -61.911900, 21.367800, -1.785505, 1.570796, 0.260000
50416, -60.079300, 21.972200, -1.730910, 1.570796, 0.260000
50417, -54.837502, 21.367800, -1.671599, 1.570796, 0.260000
50418, -52.718700, 21.972200, -1.609183, 1.570796, 0.260000
50419, -47.581001, 21.367800, -1.540679, 1.570796, 0.260000
50420, -45.168598, 21.972200, -1.468278, 1.570796, 0.260000
50421, -40.137600, 21.367800, -1.387900, 1.570796, 0.260000
50422, -37.424099, 21.972200, -1.302466, 1.570796, 0.260000
50423, -32.502499, 21.367800, -1.206409, 1.570796, 0.260000
50424, -29.480200, 21.972200, -1.103625, 1.570796, 0.260000
50425, -24.670799, 21.367800, -0.986567, 1.570796, 0.260000
50426, -21.331600, 21.972200, -0.860607, 1.570796, 0.260000
50427, -16.637400, 21.367800, -0.715886, 1.570796, 0.260000
50428, -12.973300, 21.972200, -0.560611, 1.570796, 0.260000
50429, -8.397160, 21.367800, -0.383511, 1.570796, 0.260000
50430, -4.399700, 21.972200, -0.198925, 1.570796, 0.260000
50431, 0.055278, 21.367800, 0.002587, 1.570796, 0.260000
